Beg_Date,Intercept,lOD,lOD_Q2,lOD_Q3,lOD_Q4,lODLW,lSEMB,lSEMB_Q2,lSEMB_Q3,lSEMB_Q4,lSEMBLW,lSEMC,lSEMC_Q2,lSEMC_Q3,lSEMC_Q4,lSEMCLW,lSEMP,lSEMP_Q2,lSEMP_Q3,lSEMP_Q4,lSEMO,lSEMO_Q2,lSEMO_Q3,lSEMO_Q4,lSEMOLW,lPA,lPA_Q2,lPA_Q3,lPA_Q4,lPALW,lAF,lFB,lTV,lTV_Q4,lTVLW,lDM1,lDM30,outlier11,outlier12,outlier13,outlier14,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,t,Weekday1,Weekday2,Weekday3,Weekday4,Weekday5,Weekday6
1/1/2013,3.165911742,0.23753274,-0.000810841,-0.001977918,-0.000410503,0.006484759,0.362063442,0.003270086,-0.000688105,-0.007202781,-0.030591681,0.116054122,-0.00556434,0.002913837,0.002901977,0.079807159,0.045672639,-0.006950071,0.003048368,-0.004027027,0.005865995,0.000699787,-0.000386273,-0.001560061,-0.011559593,0.214142592,0.000578728,-0.00595161,0.002363383,-0.018059254,0.035864837,0.01,0.001206709,0.001206709,0.00021829,0.025787728,0.031002434,0.381829133,0.211190944,0.27,0.27,0.024517228,-0.155391018,0.029449938,-0.051392645,-0.007625496,0.058778602,-0.047175386,0.014783746,-0.137655149,0.03907388,-0.081823228,0.000520542,0.162961498,0.150171511,0.151348313,0.269362458,0.007826732,-0.06817323
2/1/2013,3.298159586,0.250200447,0.000691606,-0.002723899,0.00063131,-0.009910111,0.345217028,0.006422525,0.005662424,-0.004389291,-0.063181441,0.120756446,-0.005120122,0.001580391,0.004174525,0.094415118,0.03872014,-0.00580816,0.004331133,-0.003372996,0.004843305,0.001859973,0.001159512,0.000638262,-0.011154902,0.216057436,0.002167796,-0.003196101,0.004217973,-0.023265989,0.031702261,0.01,0.000945462,0.000945462,0.002829734,0.024634813,0.043421098,0.396196704,0.235507968,0.27,0.27,0.099340334,-0.083992368,0.023286473,-0.039315517,0.016415986,0.067268504,-0.040538432,0.034937296,-0.133999857,0.048189352,-0.084862948,0.000509724,0.162372152,0.14747774,0.153636643,0.271502537,0.005400699,-0.067813372
3/1/2013,3.673636009,0.260047592,-0.000365167,-0.006072459,-0.000104661,0.005042737,0.329285239,0.005981129,0.010732021,-0.001810665,-0.113348643,0.107101927,-0.003658547,0.00048239,0.004705778,0.06559792,0.027354749,-0.004773469,0.00386228,-0.004166195,0.004995637,0.002749815,0.001698804,0.001777941,-0.009727291,0.225793014,0.000769802,-0.001887094,0.003638995,-0.015403163,0.031787959,0.01,0.001357616,0.001357616,0.006075635,0.035800816,0.050944483,0.442798625,0.286039838,0.27,0.27,-0.025661201,-0.106917794,0.009150247,-0.036561337,-0.001247415,0.043630848,-0.041872837,0.050175761,-0.14963111,0.046687451,-0.092734561,0.00044008,0.161353747,0.150957374,0.155665059,0.271646729,0.004222412,-0.063301801
4/1/2013,3.670286543,0.268689746,-0.000531561,-0.007551289,-0.000220959,0.009046551,0.336382988,0.006073395,0.012440021,-0.001440487,-0.12567038,0.099181107,-0.003490002,0.000386253,0.005260653,0.064021588,0.030993624,-0.005608288,0.004058008,-0.004766594,0.004487818,0.003391085,0.002020181,0.002111604,-0.009226462,0.224102859,0.00079639,-0.001598933,0.003873259,-0.013429905,0.031237527,0.01,0.001498408,0.001498408,0.006634723,0.033015666,0.052352064,0.448925453,0.290484408,0.27,0.27,-0.021441087,-0.13403242,0.010870661,-0.037379142,-0.005169966,0.040494756,-0.040300311,0.05623802,-0.155723244,0.04646585,-0.09963121,0.000426321,0.16106396,0.149607061,0.155889855,0.270324033,0.002393468,-0.064288211
5/1/2013,3.504222436,0.264936691,-0.000445702,-0.007045953,-0.000508881,0.018738871,0.337292561,0.006265002,0.011749163,-0.000756614,-0.122267856,0.099747005,-0.003137729,0.000825237,0.004620699,0.061497662,0.033249633,-0.005111049,0.004086516,-0.004868041,0.004700846,0.003164728,0.001996852,0.002237586,-0.009596873,0.223784105,0.001074728,-0.001708988,0.003694654,-0.011362205,0.03224503,0.01,-0.005383608,0.009850062,0.003809402,0.037004111,0.052266094,0.432827114,0.291450315,0.27,0.27,-0.018976822,-0.131464207,0.012034311,-0.044703086,-0.015299758,0.041190583,-0.040002594,0.057029309,-0.148938744,0.046609877,-0.101905666,0.000428551,0.159566281,0.150390717,0.157416869,0.268916891,0.000974114,-0.065917841
6/1/2013,3.40767385,0.272522681,0.001186084,-0.008057876,-0.000860543,0.025805263,0.340783143,0.003086846,0.013138171,-0.000286017,-0.130032885,0.099579231,-0.0027324,0.000938922,0.004364878,0.055456845,0.025327679,-0.005138591,0.004542749,-0.005169559,0.005116732,0.003032648,0.001595143,0.002528995,-0.008915294,0.226114777,0.000972658,-0.001623756,0.003516609,-0.00725756,0.03165144,0.01,-0.000101085,0.006396772,0.00256607,0.039865547,0.053501547,0.426004513,0.287300695,0.27,0.27,-0.011109624,-0.125116998,0.010540079,-0.039633546,-0.014683361,0.039647295,-0.037513872,0.063921335,-0.147152743,0.042357854,-0.106906357,0.000407272,0.156939839,0.15151895,0.157420941,0.267544016,0.00092041,-0.064745931
7/1/2013,3.358116066,0.273429216,0.001132239,-0.008164714,-0.000907084,0.024491109,0.3450768,0.002529949,0.013393946,-2.26E-05,-0.12737969,0.093845308,-0.002760644,0.000916614,0.004498727,0.061563209,0.029101804,-0.004550166,0.004589915,-0.005429752,0.005283389,0.002870765,0.001527334,0.002687717,-0.008622999,0.226066519,0.000806106,-0.001674896,0.003586114,-0.004421778,0.031850583,0.01,0.001611914,0.005313634,0.002079031,0.035182263,0.05292676,0.423027437,0.280915896,0.27,0.27,-0.009547495,-0.121647947,0.010756492,-0.04275869,-0.01355202,0.042087541,-0.036666996,0.062624845,-0.147986941,0.043955819,-0.108880354,0.000395398,0.157991585,0.15184322,0.158704168,0.26299585,0.000313041,-0.064565136
8/1/2013,3.403777401,0.278873745,0.00109339,-0.006901372,-0.000991509,0.014716106,0.346466924,0.002535805,0.012096213,0.000117829,-0.127328205,0.087707341,-0.002355555,-0.000362669,0.004934519,0.064795716,0.032743088,-0.004919168,0.004890899,-0.005691868,0.00531518,0.00274993,0.001314212,0.003046207,-0.008871202,0.225427416,0.000731809,-0.001092771,0.003650802,-0.002509492,0.033498805,0.01,0.001480392,0.005448169,0.002028143,0.033194391,0.052064103,0.425601052,0.281369756,0.27,0.27,-0.014101227,-0.125022024,0.010939386,-0.045457428,-0.016613224,0.043134912,-0.036123412,0.060629498,-0.154965158,0.041509791,-0.110079902,0.000394503,0.156780363,0.146483367,0.153659585,0.260450427,-0.00376757,-0.064735423
9/1/2013,3.624826526,0.253331765,0.001378958,-0.006514502,-0.001154917,-0.003541011,0.342480801,0.004003212,0.003852759,0.001798376,-0.158911763,0.094410383,-0.003136836,0.002845289,0.00430119,0.062152544,0.026085317,-0.004311565,0.005113413,-0.006490287,0.006505856,0.001458004,0.001640328,0.004376968,-0.003680027,0.230692284,0.001315905,-0.002902741,0.003730365,0.015718729,0.032982962,0.01,0.00134369,0.00509178,0.003169182,0.048685729,0.057215012,0.437740682,0.301967352,0.27,0.27,-0.013067003,-0.114969197,-0.004027559,-0.040643991,-0.003440447,0.090772181,-0.064881199,0.08020924,-0.155329435,0.028723347,-0.112556126,0.000322928,0.159494645,0.146034169,0.152697748,0.261933703,-0.004880947,-0.068041008
10/1/2013,4.152271003,0.218034517,0.001918648,-0.008086142,-0.000733672,-0.04285145,0.344998328,0.003296171,0.003261154,0.003269119,-0.174259724,0.095250056,-0.003413691,0.002596642,0.004744514,0.060335667,0.022158138,-0.003423016,0.003799336,-0.006610259,0.007424423,0.000442815,0.000329493,0.006264295,-9.80E-05,0.242911563,0.001736417,-0.0029001,0.003733158,0.031602038,0.03216108,0.01,0.000549891,0.005180694,0.004109093,0.053249294,0.059830342,0.471394525,0.329745001,0.27,0.27,-0.022315496,-0.109219552,-0.017799746,-0.038636122,0.008951428,0.125631121,-0.030636022,0.0211766,-0.176271795,0.02096136,-0.100488219,0.000225772,0.15692061,0.143820912,0.155469776,0.269156232,-0.000243932,-0.069375203
